"Rnk","Team","Gms","poss","seconds&nbsp ▲...5","seconds&nbsp ▲...6","points...7","points...8","%...9","seconds...10","seconds...11","points...12","points...13","%...14","seconds...15","seconds...16","points...17","points...18","%...19","seconds...20","seconds...21","points...22","points...23","Season","Year"
"18","LAC","82","8,163","14.6","18","1.09","25","53%","17.8","23","1.08","16","37%","11.0","7","1.09","25","8%","9.1","23","1.16","29",2022,2022
"19","DET","82","8,190","14.6","19","1.05","28","56%","17.3","14","1.00","28","34%","11.3","13","1.07","27","8%","8.8","14","1.24","21",2022,2022
"20","NOP","82","8,109","14.7","20","1.11","20","53%","17.7","20","1.05","23","36%","11.3","15","1.13","16","8%","8.9","18","1.30","8",2022,2022
"21","BOS","82","8,110","14.7","21","1.13","9","52%","17.7","21","1.09","8","38%","11.7","24","1.13","12","7%","8.8","12","1.25","16",2022,2022
"22","DEN","82","8,155","14.8","22","1.13","6","53%","17.8","24","1.10","5","37%","11.4","17","1.13","13","7%","8.9","15","1.23","25",2022,2022
"23","UTA","82","8,057","14.8","23","1.16","1","52%","17.8","25","1.13","2","38%","11.8","27","1.17","1","7%","9.0","20","1.26","14",2022,2022
"24","MIA","82","8,026","14.8","24","1.12","12","53%","17.6","19","1.08","17","37%","11.8","26","1.15","3","8%","9.7","29","1.24","22",2022,2022
"25","TOR","82","8,050","14.9","25","1.11","16","54%","18.3","30","1.06","21","35%","11.1","8","1.13","15","9%","8.5","7","1.33","4",2022,2022
"26","WAS","82","8,112","14.9","26","1.10","21","54%","17.7","22","1.07","18","37%","11.5","20","1.08","26","7%","9.1","22","1.31","6",2022,2022
"27","NYK","82","7,984","15.1","27","1.09","23","52%","18.2","27","1.04","25","38%","11.8","29","1.09","23","7%","8.9","17","1.40","2",2022,2022
"28","PHI","82","8,014","15.1","28","1.12","11","53%","18.3","28","1.09","9","37%","11.8","25","1.14","10","8%","9.0","19","1.25","20",2022,2022
"29","CLE","82","7,987","15.2","29","1.11","19","53%","18.3","29","1.08","14","37%","11.8","28","1.10","19","7%","9.7","28","1.25","18",2022,2022
"30","DAL","82","7,902","15.5","30","1.12","13","53%","18.1","26","1.08","11","37%","12.6","30","1.14","8","7%","10.1","30","1.16","30",2022,2022
"1","SAC","82","8,385","13.6","1","1.18","1","57%","16.1","1","1.14","3","34%","10.4","1","1.19","2","7%","8.0","9","1.37","2",2023,2023
"2","OKC","82","8,476","13.7","2","1.14","16","56%","16.1","2","1.11","12","33%","10.8","9","1.12","26","8%","7.6","2","1.32","9",2023,2023
"3","IND","82","8,419","13.7","3","1.13","22","58%","16.2","4","1.08","25","32%","10.4","2","1.17","6","8%","7.8","3","1.28","20",2023,2023
"4","GSW","82","8,505","13.8","4","1.15","9","55%","16.2","3","1.12","7","35%","11.0","18","1.14","16","7%","8.4","22","1.30","17",2023,2023
"5","ATL","82","8,434","13.8","5","1.15","7","57%","16.3","5","1.11","9","34%","10.7","7","1.14","15","7%","8.2","14","1.34","7",2023,2023
"6","MEM","82","8,398","13.9","6","1.14","12","53%","16.8","9","1.09","22","36%","10.7","6","1.17","5","8%","8.0","10","1.27","22",2023,2023
"7","SAS","82","8,486","14.0","7","1.09","29","58%","16.6","6","1.05","29","33%","10.4","3","1.12","23","7%","7.9","6","1.27","21",2023,2023
"8","MIN","82","8,422","14.0","8","1.13","23","56%","16.6","7","1.10","17","34%","10.8","12","1.14","20","8%","8.4","20","1.26","25",2023,2023
"9","CHA","82","8,442","14.0","9","1.08","30","56%","16.9","10","1.04","30","35%","10.6","5","1.08","29","8%","7.3","1","1.33","8",2023,2023
"10","CHI","82","8,270","14.0","10","1.12","24","54%","16.8","8","1.08","24","36%","11.0","16","1.12","25","8%","8.1","12","1.34","6",2023,2023
"11","MIL","82","8,427","14.1","11","1.14","15","53%","17.0","12","1.12","5","39%","10.8","11","1.14","21","6%","8.4","21","1.25","27",2023,2023
"12","LAL","82","8,465","14.1","12","1.14","18","55%","17.0","16","1.09","18","37%","10.5","4","1.16","7","6%","7.8","4","1.21","30",2023,2023
"13","NOP","82","8,275","14.2","13","1.13","21","54%","17.0","13","1.09","19","35%","11.0","17","1.13","22","8%","7.9","7","1.28","19",2023,2023
"14","ORL","82","8,233","14.3","14","1.11","26","55%","16.9","11","1.07","27","35%","11.2","20","1.12","24","7%","8.3","18","1.31","10",2023,2023
"15","UTA","82","8,389","14.3","15","1.14","10","56%","17.0","14","1.12","8","36%","10.8","10","1.14","17","6%","8.3","19","1.36","4",2023,2023
"16","BKN","82","8,137","14.4","16","1.14","11","55%","17.2","18","1.10","16","35%","10.9","13","1.16","8","7%","8.6","24","1.29","18",2023,2023
"17","DEN","82","8,161","14.6","17","1.16","5","55%","17.7","25","1.11","10","35%","10.9","14","1.19","1","8%","7.8","5","1.24","28",2023,2023
"18","BOS","82","8,299","14.6","18","1.17","4","54%","17.6","21","1.15","2","37%","11.2","21","1.16","9","6%","8.1","11","1.31","12",2023,2023
"19","DET","82","8,252","14.6","19","1.10","28","57%","17.1","17","1.08","26","33%","11.5","24","1.07","30","7%","8.3","17","1.34","5",2023,2023
"20","PHX","82","8,175","14.6","20","1.14","14","56%","17.0","15","1.10","14","35%","11.6","27","1.16","12","7%","9.0","28","1.31","13",2023,2023
"21","LAC","82","8,201","14.7","21","1.14","17","55%","17.8","26","1.09","21","36%","10.9","15","1.16","10","7%","8.5","23","1.30","16",2023,2023
"22","POR","82","8,202","14.7","22","1.13","20","57%","17.5","19","1.11","11","33%","11.1","19","1.14","19","7%","8.1","13","1.31","14",2023,2023
"23","TOR","82","8,113","14.7","23","1.14","13","56%","18.0","27","1.08","23","32%","10.7","8","1.14","18","10%","8.2","15","1.38","1",2023,2023
"24","WAS","82","8,180","14.8","24","1.13","19","55%","17.7","23","1.09","20","36%","11.4","23","1.15","14","7%","8.6","25","1.30","15",2023,2023
"25","HOU","82","8,267","14.8","25","1.10","27","55%","17.5","20","1.06","28","35%","11.9","30","1.11","27","7%","8.0","8","1.26","24",2023,2023
"26","MIA","82","8,034","15.0","26","1.12","25","55%","17.7","22","1.10","13","34%","11.8","28","1.10","28","8%","9.2","29","1.26","26",2023,2023
"27","PHI","82","8,097","15.0","27","1.17","2","55%","18.1","28","1.12","6","35%","11.6","26","1.19","3","8%","8.7","26","1.31","11",2023,2023
"28","NYK","82","8,162","15.1","28","1.17","3","55%","18.2","29","1.15","1","37%","11.5","25","1.15","13","7%","8.2","16","1.26","23",2023,2023
"29","CLE","82","8,021","15.1","29","1.15","8","56%","18.2","30","1.10","15","34%","11.3","22","1.18","4","7%","8.8","27","1.37","3",2023,2023
"30","DAL","82","8,112","15.2","30","1.15","6","57%","17.7","24","1.14","4","34%","11.8","29","1.16","11","6%","9.7","30","1.22","29",2023,2023
"1","IND","82","8,419","13.7","1","1.20","2","57%","16.0","1","1.16","2","33%","10.7","6","1.20","2","8%","7.7","2","1.39","3",2024,2024
"2","WAS","82","8,496","13.7","2","1.10","25","57%","16.4","2","1.05","25","33%","10.3","2","1.12","25","7%","7.5","1","1.36","6",2024,2024
"3","OKC","82","8,350","13.8","3","1.18","3","54%","16.5","3","1.15","6","35%","10.6","5","1.16","9","8%","8.4","15","1.39","2",2024,2024
"4","SAS","82","8,461","13.9","4","1.09","26","56%","16.7","5","1.05","26","35%","10.3","3","1.11","26","7%","7.8","5","1.26","26",2024,2024
"5","TOR","82","8,274","14.0","5","1.11","24","56%","16.9","10","1.06","24","33%","10.2","1","1.16","11","8%","7.9","7","1.27","23",2024,2024
"6","SAC","82","8,261","14.0","6","1.16","13","55%","16.6","4","1.11","13","35%","10.9","11","1.17","8","8%","8.6","20","1.33","12",2024,2024
"7","LAL","82","8,432","14.0","7","1.15","15","54%","17.1","14","1.10","16","36%","10.5","4","1.16","13","7%","7.7","3","1.35","8",2024,2024
"8","DAL","82","8,302","14.2","8","1.16","9","56%","16.9","9","1.12","10","35%","10.8","8","1.19","5","7%","8.2","12","1.27","24",2024,2024
"9","ATL","82","8,381","14.2","9","1.16","12","57%","16.8","7","1.15","5","34%","10.7","7","1.13","19","7%","8.4","13","1.30","18",2024,2024
"10","MIL","82","8,341","14.2","10","1.17","6","54%","17.0","11","1.13","9","36%","10.9","9","1.19","3","7%","8.4","16","1.24","27",2024,2024
"11","HOU","82","8,282","14.2","11","1.13","20","54%","17.1","13","1.08","21","36%","11.1","12","1.15","14","8%","7.7","4","1.28","21",2024,2024
"12","DET","82","8,308","14.2","12","1.08","27","57%","16.8","8","1.04","27","35%","10.9","10","1.09","29","7%","8.2","11","1.30","19",2024,2024
"13","GSW","82","8,296","14.3","13","1.16","10","54%","16.8","6","1.13","7","36%","11.5","23","1.15","17","7%","9.1","29","1.34","9",2024,2024
"14","NOP","82","8,133","14.3","14","1.16","11","53%","17.3","15","1.12","12","36%","11.1","15","1.18","6","9%","8.4","14","1.27","22",2024,2024
"15","CHI","82","8,115","14.5","15","1.13","19","55%","17.1","12","1.09","19","35%","11.7","26","1.12","22","8%","8.7","21","1.39","1",2024,2024
"16","BOS","82","8,120","14.6","16","1.22","1","52%","17.7","23","1.20","1","38%","11.4","21","1.21","1","7%","8.2","10","1.31","17",2024,2024
"17","PHX","82","8,186","14.6","17","1.16","8","54%","17.4","16","1.12","11","36%","11.6","25","1.18","7","8%","9.0","27","1.32","14",2024,2024
"18","UTA","82","8,340","14.7","18","1.14","18","56%","17.6","20","1.10","17","35%","11.1","14","1.15","15","7%","7.9","6","1.33","11",2024,2024
"19","MIN","82","8,107","14.7","19","1.14","16","53%","17.6","21","1.10","15","37%","11.8","28","1.16","12","8%","8.0","8","1.32","13",2024,2024
"20","CLE","82","8,090","14.7","20","1.14","17","54%","17.9","27","1.09","18","36%","11.1","13","1.15","16","8%","8.1","9","1.37","4",2024,2024
"21","POR","82","8,156","14.8","21","1.07","29","57%","17.5","17","1.02","30","33%","11.4","20","1.09","28","8%","8.7","22","1.23","29",2024,2024
"22","CHA","82","8,073","14.8","22","1.08","28","57%","17.5","18","1.04","28","34%","11.2","17","1.10","27","7%","8.9","25","1.23","28",2024,2024
"23","MEM","82","8,166","14.8","23","1.06","30","55%","17.5","19","1.03","29","34%","11.7","27","1.07","30","8%","8.8","23","1.20","30",2024,2024
"24","PHI","82","8,124","14.8","24","1.16","14","55%","17.9","26","1.10","14","34%","11.3","19","1.19","4","9%","8.6","19","1.27","25",2024,2024
"25","BKN","82","8,091","14.8","25","1.12","23","55%","17.6","22","1.08","22","35%","11.5","22","1.12","24","7%","8.5","18","1.30","20",2024,2024
"26","MIA","82","7,999","14.9","26","1.13","21","54%","17.7","24","1.09","20","36%","11.5","24","1.12","21","8%","9.3","30","1.32","15",2024,2024
"27","LAC","82","8,094","14.9","27","1.17","5","54%","18.1","28","1.13","8","35%","11.2","16","1.16","10","8%","8.5","17","1.36","5",2024,2024
"28","DEN","82","8,036","14.9","28","1.17","4","54%","18.2","29","1.16","3","37%","11.2","18","1.13","20","7%","8.9","26","1.34","10",2024,2024
"29","ORL","82","8,054","15.1","29","1.12","22","54%","17.9","25","1.07","23","35%","12.0","30","1.12","23","8%","9.1","28","1.32","16",2024,2024
"30","NYK","82","7,922","15.5","30","1.17","7","54%","18.8","30","1.15","4","36%","11.9","29","1.13","18","8%","8.9","24","1.35","7",2024,2024
