"Player","Tm","Age","G","win_pct","MP","FG","FGA","X3P","X3PA","FT","FTA","TRB","AST","STL","BLK","PTS","Year","X2P","X2PA","MP_pg","FG_pg","FGA_pg","X3P_pg","X3PA_pg","X2P_pg","X2PA_pg","FT_pg","FTA_pg","TRB_pg","AST_pg","STL_pg","BLK_pg","PTS_pg","Pos","PER","BPM","VORP"
"Eugene Omoruyi","WAS",27,43,0.116,393.306666666667,81,167,13,46,32,49,85,35,27,5,207,2024,68,121,9.14666666666668,1.88372093023256,3.88372093023256,0.302325581395349,1.06976744186047,1.58139534883721,2.81395348837209,0.744186046511628,1.13953488372093,1.97674418604651,0.813953488372093,0.627906976744186,0.116279069767442,4.81395348837209,"SF",16,-2.3,0
"Evan Fournier","DET",31,32,0.25,579.673333333333,79,221,33,130,29,36,58,48,29,7,220,2024,46,91,18.1147916666667,2.46875,6.90625,1.03125,4.0625,1.4375,2.84375,0.90625,1.125,1.8125,1.5,0.90625,0.21875,6.875,"SG",8.5,-4.3,-0.3
"Evan Mobley","CLE",23,50,0.58,1532.35,320,553,22,59,123,171,468,160,45,72,785,2024,298,494,30.647,6.4,11.06,0.44,1.18,5.96,9.88,2.46,3.42,9.36,3.2,0.9,1.44,15.7,"PF",20.1,2.9,1.9
"Frank Ntilikina","CHA",25,5,0,42.9,1,9,1,8,2,2,6,4,0,0,5,2024,0,1,8.58,0.2,1.8,0.2,1.6,0,0.2,0.4,0.4,1.2,0.8,0,0,1,"PG",0,-13.4,-0.1
"Franz Wagner","ORL",22,72,0.611,2337.41666666667,528,1096,94,334,271,319,381,269,76,28,1421,2024,434,762,32.4641203703704,7.33333333333333,15.2222222222222,1.30555555555556,4.63888888888889,6.02777777777778,10.5833333333333,3.76388888888889,4.43055555555556,5.29166666666667,3.73611111111111,1.05555555555556,0.388888888888889,19.7361111111111,"SF",17.6,1.2,1.9
"Fred VanVleet","HOU",30,73,0.521,2684.42666666667,423,1018,227,586,197,229,278,589,101,59,1270,2024,196,432,36.7729680365297,5.79452054794521,13.9452054794521,3.10958904109589,8.02739726027397,2.68493150684932,5.91780821917808,2.6986301369863,3.13698630136986,3.80821917808219,8.06849315068493,1.38356164383562,0.808219178082192,17.3972602739726,"PG",16.7,3.4,3.6
"Furkan Korkmaz","PHI",26,35,0.629,299.926666666667,30,76,14,40,14,20,30,25,14,3,88,2024,16,36,8.56933333333334,0.857142857142857,2.17142857142857,0.4,1.14285714285714,0.457142857142857,1.02857142857143,0.4,0.571428571428571,0.857142857142857,0.714285714285714,0.4,0.0857142857142857,2.51428571428571,"SG",9.2,-2.7,-0.1
"Gabe Vincent","LAL",28,11,0.636,217.635,15,49,3,28,1,2,9,21,9,0,34,2024,12,21,19.785,1.36363636363636,4.45454545454545,0.272727272727273,2.54545454545455,1.09090909090909,1.90909090909091,0.0909090909090909,0.181818181818182,0.818181818181818,1.90909090909091,0.818181818181818,0,3.09090909090909,"PG",3.1,-6.5,-0.2
"Garrett Temple","TOR",38,27,0.185,288.753333333333,29,78,12,40,18,22,45,28,12,3,88,2024,17,38,10.6945679012346,1.07407407407407,2.88888888888889,0.444444444444444,1.48148148148148,0.62962962962963,1.40740740740741,0.666666666666667,0.814814814814815,1.66666666666667,1.03703703703704,0.444444444444444,0.111111111111111,3.25925925925926,"SG",9.5,-4.7,-0.2
"Garrison Mathews","ATL",27,66,0.439,992.121666666667,103,226,85,193,34,42,92,37,20,8,325,2024,18,33,15.0321464646465,1.56060606060606,3.42424242424242,1.28787878787879,2.92424242424242,0.272727272727273,0.5,0.515151515151515,0.636363636363636,1.39393939393939,0.560606060606061,0.303030303030303,0.121212121212121,4.92424242424242,"SG",8.9,-3,-0.2
"Gary Harris","ORL",29,54,0.648,1297.34666666667,131,297,76,205,34,45,91,87,49,14,372,2024,55,92,24.024938271605,2.42592592592593,5.5,1.40740740740741,3.7962962962963,1.01851851851852,1.7037037037037,0.62962962962963,0.833333333333333,1.68518518518519,1.61111111111111,0.907407407407407,0.259259259259259,6.88888888888889,"SG",9.4,-1.2,0.3
"Gary Payton II","GSW",31,44,0.614,679.9,103,183,20,55,14,23,113,48,39,18,240,2024,83,128,15.4522727272727,2.34090909090909,4.15909090909091,0.454545454545455,1.25,1.88636363636364,2.90909090909091,0.318181818181818,0.522727272727273,2.56818181818182,1.09090909090909,0.886363636363636,0.409090909090909,5.45454545454545,"SG",13.9,0.9,0.5
"Gary Trent Jr.","TOR",25,71,0.338,1993.59833333333,361,847,178,453,74,96,188,119,77,10,974,2024,183,394,28.0788497652582,5.08450704225352,11.9295774647887,2.50704225352113,6.38028169014085,2.57746478873239,5.54929577464789,1.04225352112676,1.35211267605634,2.64788732394366,1.67605633802817,1.08450704225352,0.140845070422535,13.7183098591549,"SG",12,-2.6,-0.3
"Georges Niang","CLE",31,82,0.585,1831.125,284,632,149,396,51,60,278,98,30,18,768,2024,135,236,22.3307926829268,3.46341463414634,7.70731707317073,1.81707317073171,4.82926829268293,1.64634146341463,2.8780487804878,0.621951219512195,0.731707317073171,3.39024390243902,1.19512195121951,0.365853658536585,0.219512195121951,9.36585365853658,"PF",9.9,-2.9,-0.4
"Giannis Antetokounmpo","MIL",29,73,0.616,2567.24333333333,837,1369,34,124,514,782,841,476,87,79,2222,2024,803,1245,35.1677168949771,11.4657534246575,18.7534246575342,0.465753424657534,1.6986301369863,11,17.0547945205479,7.04109589041096,10.7123287671233,11.5205479452055,6.52054794520548,1.19178082191781,1.08219178082192,30.4383561643836,"PF",29.9,9,7.2
"Goga Bitadze","ORL",24,62,0.548,957.086666666667,126,209,2,14,57,87,286,79,32,72,311,2024,124,195,15.4368817204301,2.03225806451613,3.37096774193548,0.032258064516129,0.225806451612903,2,3.14516129032258,0.919354838709677,1.40322580645161,4.61290322580645,1.2741935483871,0.516129032258065,1.16129032258065,5.01612903225806,"C",17.8,2.1,1
"Gordon Hayward","OKC",34,51,0.49,1245.25,187,403,37,90,89,120,181,158,40,13,500,2024,150,313,24.4166666666667,3.66666666666667,7.90196078431373,0.725490196078431,1.76470588235294,2.94117647058824,6.13725490196078,1.74509803921569,2.35294117647059,3.54901960784314,3.09803921568627,0.784313725490196,0.254901960784314,9.80392156862745,"SF",12.8,-2.1,0
"Gradey Dick","TOR",20,60,0.3,1267.66833333333,189,445,88,241,44,51,132,68,34,2,510,2024,101,204,21.1278055555555,3.15,7.41666666666667,1.46666666666667,4.01666666666667,1.68333333333333,3.4,0.733333333333333,0.85,2.2,1.13333333333333,0.566666666666667,0.0333333333333333,8.5,"SG",8.9,-5.4,-1.1
"Grant Williams","CHA",25,76,0.447,2129.56,276,605,126,336,106,140,318,174,44,39,784,2024,150,269,28.0205263157895,3.63157894736842,7.96052631578947,1.65789473684211,4.42105263157895,1.97368421052632,3.53947368421053,1.39473684210526,1.84210526315789,4.18421052631579,2.28947368421053,0.578947368421053,0.513157894736842,10.3157894736842,"PF",10.6,-2.6,-0.3
"Grayson Allen","PHX",28,75,0.6,2513.3,340,682,205,445,129,147,295,227,69,45,1014,2024,135,237,33.5106666666667,4.53333333333333,9.09333333333333,2.73333333333333,5.93333333333333,1.8,3.16,1.72,1.96,3.93333333333333,3.02666666666667,0.92,0.6,13.52,"SG",13.8,1.3,2
"Greg Brown III","DAL",22,6,0.5,39.7433333333333,5,11,1,3,4,9,9,4,0,4,15,2024,4,8,6.62388888888888,0.833333333333333,1.83333333333333,0.166666666666667,0.5,0.666666666666667,1.33333333333333,0.666666666666667,1.5,1.5,0.666666666666667,0,0.666666666666667,2.5,"PF",10.5,-4.4,0
"Gui Santos","GSW",22,23,0.739,192.09,28,55,10,27,16,17,49,14,4,2,82,2024,18,28,8.35173913043478,1.21739130434783,2.39130434782609,0.434782608695652,1.17391304347826,0.782608695652174,1.21739130434783,0.695652173913043,0.739130434782609,2.1304347826087,0.608695652173913,0.173913043478261,0.0869565217391304,3.56521739130435,"PF",15.6,-0.5,0.1
"Hamidou Diallo","WAS",25,2,0.5,4.75,1,2,0,0,0,0,2,1,2,0,2,2024,1,2,2.375,0.5,1,0,0,0.5,1,0,0,1,0.5,1,0,1,"SG",33.2,18.7,0
"Harrison Barnes","SAC",32,82,0.561,2380.87,347,732,149,385,157,196,249,99,54,12,1000,2024,198,347,29.035,4.23170731707317,8.92682926829268,1.81707317073171,4.69512195121951,2.41463414634146,4.23170731707317,1.91463414634146,2.39024390243902,3.03658536585366,1.20731707317073,0.658536585365854,0.146341463414634,12.1951219512195,"PF",11.9,-1.8,0.1
"Haywood Highsmith","MIA",27,66,0.591,1365.835,153,329,76,192,23,36,210,70,53,30,405,2024,77,137,20.6944696969697,2.31818181818182,4.98484848484848,1.15151515151515,2.90909090909091,1.16666666666667,2.07575757575758,0.348484848484849,0.545454545454545,3.18181818181818,1.06060606060606,0.803030303030303,0.454545454545455,6.13636363636364,"PF",11.1,-0.7,0.5
"Henri Drell","CHI",24,4,0.5,29.9166666666667,4,10,2,6,1,2,4,4,2,1,11,2024,2,4,7.47916666666667,1,2.5,0.5,1.5,0.5,1,0.25,0.5,1,1,0.5,0.25,2.75,"SF",10.7,-4.9,0
"Herbert Jones","NOP",25,76,0.605,2321.42833333333,293,588,114,273,137,158,272,199,105,62,837,2024,179,315,30.5451096491228,3.85526315789474,7.73684210526316,1.5,3.59210526315789,2.35526315789474,4.14473684210526,1.80263157894737,2.07894736842105,3.57894736842105,2.61842105263158,1.38157894736842,0.815789473684211,11.0131578947368,"SF",13.2,0.6,1.6
"Hunter Tyson","DEN",24,18,0.778,47.9766666666667,8,20,4,14,0,0,9,2,1,0,20,2024,4,6,2.66537037037037,0.444444444444444,1.11111111111111,0.222222222222222,0.777777777777778,0.222222222222222,0.333333333333333,0,0,0.5,0.111111111111111,0.0555555555555556,0,1.11111111111111,"PF",6,-8.9,-0.1
"Ibou Badji","POR",21,22,0.227,225.818333333333,14,22,0,0,6,12,51,13,3,20,34,2024,14,22,10.2644696969697,0.636363636363636,1,0,0,0.636363636363636,1,0.272727272727273,0.545454545454545,2.31818181818182,0.590909090909091,0.136363636363636,0.909090909090909,1.54545454545455,"C",8.1,-5.8,-0.2
"Immanuel Quickley","TOR",25,68,0.412,1985.33666666667,388,894,171,433,209,245,259,331,50,10,1156,2024,217,461,29.1961274509804,5.70588235294118,13.1470588235294,2.51470588235294,6.36764705882353,3.19117647058824,6.77941176470588,3.07352941176471,3.60294117647059,3.80882352941176,4.86764705882353,0.735294117647059,0.147058823529412,17,"PG",16.7,1.3,1.7
"Isaac Okoro","CLE",23,69,0.594,1887.05666666667,235,480,84,215,93,137,207,132,57,34,647,2024,151,265,27.3486473429952,3.40579710144928,6.95652173913043,1.21739130434783,3.11594202898551,2.18840579710145,3.84057971014493,1.34782608695652,1.98550724637681,3,1.91304347826087,0.826086956521739,0.492753623188406,9.3768115942029,"SF",11.4,-1.1,0.4
"Isaiah Hartenstein","NYK",26,75,0.627,1896.34833333333,235,365,1,3,111,157,626,188,87,85,582,2024,234,362,25.2846444444444,3.13333333333333,4.86666666666667,0.0133333333333333,0.04,3.12,4.82666666666667,1.48,2.09333333333333,8.34666666666667,2.50666666666667,1.16,1.13333333333333,7.76,"C",18.9,3.5,2.6
"Isaiah Jackson","IND",22,60,0.617,770.905,155,233,0,4,73,102,238,50,34,61,383,2024,155,229,12.8484166666667,2.58333333333333,3.88333333333333,0,0.0666666666666667,2.58333333333333,3.81666666666667,1.21666666666667,1.7,3.96666666666667,0.833333333333333,0.566666666666667,1.01666666666667,6.38333333333333,"C",21.5,1.7,0.7
"Isaiah Joe","OKC",24,78,0.692,1444.86666666667,222,485,147,353,45,52,180,99,46,22,636,2024,75,132,18.5239316239317,2.84615384615385,6.21794871794872,1.88461538461538,4.52564102564103,0.961538461538462,1.69230769230769,0.576923076923077,0.666666666666667,2.30769230769231,1.26923076923077,0.58974358974359,0.282051282051282,8.15384615384615,"SG",13.4,0.9,1
"Isaiah Livers","DET",25,23,0.043,469.396666666667,40,116,22,77,12,18,48,25,13,5,114,2024,18,39,20.4085507246377,1.73913043478261,5.04347826086957,0.956521739130435,3.34782608695652,0.782608695652174,1.69565217391304,0.521739130434783,0.782608695652174,2.08695652173913,1.08695652173913,0.565217391304348,0.217391304347826,4.95652173913043,"PF",5.1,-6.5,-0.5
"Isaiah Mobley","CLE",24,10,0.2,71.9216666666667,10,24,3,10,0,1,10,6,2,0,23,2024,7,14,7.19216666666667,1,2.4,0.3,1,0.7,1.4,0,0.1,1,0.6,0.2,0,2.3,"PF",8.1,-6.6,-0.1
"Isaiah Stewart","DET",23,46,0.196,1422.81666666667,186,382,67,175,64,85,305,73,17,38,503,2024,119,207,30.9307971014493,4.04347826086957,8.30434782608696,1.45652173913043,3.80434782608696,2.58695652173913,4.5,1.39130434782609,1.84782608695652,6.6304347826087,1.58695652173913,0.369565217391304,0.826086956521739,10.9347826086957,"PF",11.3,-2.3,-0.1
"Isaiah Thomas","PHX",35,6,0.667,19.3833333333333,3,10,2,4,0,0,0,3,0,0,8,2024,1,6,3.23055555555555,0.5,1.66666666666667,0.333333333333333,0.666666666666667,0.166666666666667,1,0,0,0,0.5,0,0,1.33333333333333,"PG",6.7,-6.9,0
"Isaiah Wong","IND",23,1,1,4.28333333333333,1,3,0,1,0,0,0,0,0,0,2,2024,1,2,4.28333333333333,1,3,0,1,1,2,0,0,0,0,0,0,2,"SG",-1.1,-19,0
"Ish Smith","CHA",35,43,0.14,740.846666666667,66,158,4,8,3,4,76,145,17,4,139,2024,62,150,17.228992248062,1.53488372093023,3.67441860465116,0.0930232558139535,0.186046511627907,1.44186046511628,3.48837209302326,0.0697674418604651,0.0930232558139535,1.76744186046512,3.37209302325581,0.395348837209302,0.0930232558139535,3.23255813953488,"PG",6.8,-6.8,-0.9
"Ish Wainright","PHX",29,11,0.182,62.39,7,24,7,20,2,2,14,1,4,1,23,2024,0,4,5.67181818181818,0.636363636363636,2.18181818181818,0.636363636363636,1.81818181818182,0,0.363636363636364,0.181818181818182,0.181818181818182,1.27272727272727,0.0909090909090909,0.363636363636364,0.0909090909090909,2.09090909090909,"SF",8.9,-2.4,0
"Ivica Zubac","LAC",27,68,0.618,1794.44833333333,337,519,0,0,120,166,626,93,22,83,794,2024,337,519,26.3889460784313,4.95588235294118,7.63235294117647,0,0,4.95588235294118,7.63235294117647,1.76470588235294,2.44117647058824,9.20588235294118,1.36764705882353,0.323529411764706,1.22058823529412,11.6764705882353,"C",19.3,0.8,1.3
"Izaiah Brockington","NOP",24,1,1,3.38333333333333,2,5,0,1,0,0,2,0,0,0,4,2024,2,4,3.38333333333333,2,5,0,1,2,4,0,0,2,0,0,0,4,"PG",26.6,-17.8,0
"Ja Morant","MEM",24,9,0.667,317.925,80,170,14,51,52,64,50,73,7,5,226,2024,66,119,35.325,8.88888888888889,18.8888888888889,1.55555555555556,5.66666666666667,7.33333333333333,13.2222222222222,5.77777777777778,7.11111111111111,5.55555555555556,8.11111111111111,0.777777777777778,0.555555555555556,25.1111111111111,"PG",20.6,3.1,0.4
"Jabari Smith Jr.","HOU",21,76,0.513,2423.845,378,833,138,380,150,185,616,121,52,61,1044,2024,240,453,31.8926973684211,4.97368421052632,10.9605263157895,1.81578947368421,5,3.15789473684211,5.96052631578947,1.97368421052632,2.43421052631579,8.10526315789474,1.59210526315789,0.684210526315789,0.802631578947368,13.7368421052632,"PF",13.8,-0.4,1
"Jabari Walker","POR",21,72,0.25,1700.57333333333,234,509,41,139,129,171,508,71,42,22,638,2024,193,370,23.619074074074,3.25,7.06944444444444,0.569444444444444,1.93055555555556,2.68055555555556,5.13888888888889,1.79166666666667,2.375,7.05555555555556,0.986111111111111,0.583333333333333,0.305555555555556,8.86111111111111,"SF",13,-3.3,-0.6
"Jack White","MEM",26,4,0,63.6483333333333,2,16,2,10,0,0,12,1,4,1,6,2024,0,6,15.9120833333333,0.5,4,0.5,2.5,0,1.5,0,0,3,0.25,1,0.25,1.5,"SF",1.1,-10.3,-0.1
"Jacob Gilyard","BKN",25,41,0.293,698.405,60,150,51,126,2,2,46,137,33,5,173,2024,9,24,17.0342682926829,1.46341463414634,3.65853658536585,1.24390243902439,3.07317073170732,0.219512195121951,0.585365853658537,0.0487804878048781,0.0487804878048781,1.1219512195122,3.34146341463415,0.804878048780488,0.121951219512195,4.21951219512195,"PG",11.1,-1.4,0.1
"Jacob Toppin","NYK",24,9,0.222,38.1516666666667,5,9,1,4,2,2,7,3,0,1,13,2024,4,5,4.23907407407408,0.555555555555556,1,0.111111111111111,0.444444444444444,0.444444444444444,0.555555555555556,0.222222222222222,0.222222222222222,0.777777777777778,0.333333333333333,0,0.111111111111111,1.44444444444444,"SF",14.3,-0.7,0
"Jaden Hardy","DAL",21,73,0.603,989.213333333333,195,479,81,224,59,76,131,109,22,4,530,2024,114,255,13.5508675799087,2.67123287671233,6.56164383561644,1.10958904109589,3.06849315068493,1.56164383561644,3.49315068493151,0.808219178082192,1.04109589041096,1.79452054794521,1.49315068493151,0.301369863013699,0.0547945205479452,7.26027397260274,"SG",11.2,-4.1,-0.5
"Jaden Ivey","DET",22,77,0.182,2217.47666666667,417,973,124,369,227,303,264,296,57,41,1185,2024,293,604,28.7983982683983,5.41558441558442,12.6363636363636,1.61038961038961,4.79220779220779,3.80519480519481,7.84415584415584,2.94805194805195,3.93506493506493,3.42857142857143,3.84415584415584,0.74025974025974,0.532467532467532,15.3896103896104,"SG",12.4,-3.1,-0.6
"Jaden McDaniels","MIN",23,72,0.667,2105.45333333333,307,628,86,255,57,79,224,101,63,42,757,2024,221,373,29.2424074074074,4.26388888888889,8.72222222222222,1.19444444444444,3.54166666666667,3.06944444444444,5.18055555555556,0.791666666666667,1.09722222222222,3.11111111111111,1.40277777777778,0.875,0.583333333333333,10.5138888888889,"SF",9.4,-2.6,-0.3
"Jaden Springer","BOS",21,49,0.653,506.995,59,148,10,48,35,42,78,44,36,15,163,2024,49,100,10.3468367346939,1.20408163265306,3.02040816326531,0.204081632653061,0.979591836734694,1,2.04081632653061,0.714285714285714,0.857142857142857,1.59183673469388,0.897959183673469,0.73469387755102,0.306122448979592,3.3265306122449,"SG",10.7,-3.4,-0.2
"Jae Crowder","MIL",33,50,0.5,1155.69833333333,114,270,58,166,26,36,161,66,38,9,312,2024,56,104,23.1139666666666,2.28,5.4,1.16,3.32,1.12,2.08,0.52,0.72,3.22,1.32,0.76,0.18,6.24,"PF",8.9,-2.6,-0.2
"Jae'Sean Tate","HOU",28,65,0.492,1031.45666666667,108,229,23,77,26,39,197,64,42,15,265,2024,85,152,15.8685641025642,1.66153846153846,3.52307692307692,0.353846153846154,1.18461538461538,1.30769230769231,2.33846153846154,0.4,0.6,3.03076923076923,0.984615384615385,0.646153846153846,0.230769230769231,4.07692307692308,"SF",9.3,-2.3,-0.1
"Jahmi'us Ramsey","TOR",23,7,0,121.085,18,41,6,22,5,6,22,8,7,0,47,2024,12,19,17.2978571428571,2.57142857142857,5.85714285714286,0.857142857142857,3.14285714285714,1.71428571428571,2.71428571428571,0.714285714285714,0.857142857142857,3.14285714285714,1.14285714285714,1,0,6.71428571428571,"SG",10.6,-4.4,-0.1
"Jaime Jaquez Jr.","MIA",23,75,0.587,2113.195,341,697,65,202,142,175,285,195,77,20,889,2024,276,495,28.1759333333333,4.54666666666667,9.29333333333333,0.866666666666667,2.69333333333333,3.68,6.6,1.89333333333333,2.33333333333333,3.8,2.6,1.02666666666667,0.266666666666667,11.8533333333333,"SF",12.9,-1.9,0.1
"Jake LaRavia","MEM",22,35,0.229,805.55,118,303,53,156,90,109,128,58,29,12,379,2024,65,147,23.0157142857143,3.37142857142857,8.65714285714286,1.51428571428571,4.45714285714286,1.85714285714286,4.2,2.57142857142857,3.11428571428571,3.65714285714286,1.65714285714286,0.828571428571429,0.342857142857143,10.8285714285714,"PF",12.6,-2.5,-0.1
"Jakob Poeltl","TOR",28,50,0.42,1319.10833333333,248,378,0,0,59,107,429,127,35,76,555,2024,248,378,26.3821666666666,4.96,7.56,0,0,4.96,7.56,1.18,2.14,8.58,2.54,0.7,1.52,11.1,"C",18.9,0.7,0.9
"Jalen Brunson","NYK",27,77,0.636,2726.30333333333,790,1648,211,526,421,497,278,519,70,13,2212,2024,579,1122,35.4065367965368,10.2597402597403,21.4025974025974,2.74025974025974,6.83116883116883,7.51948051948052,14.5714285714286,5.46753246753247,6.45454545454545,3.61038961038961,6.74025974025974,0.909090909090909,0.168831168831169,28.7272727272727,"PG",23.4,5.8,5.4
"Jalen Crutcher","NOP",24,1,1,2.65,0,1,0,0,0,0,0,0,0,0,0,2024,0,1,2.65,0,1,0,0,0,1,0,0,0,0,0,0,0,"PG",-12.6,-26.2,0
"Jalen Duren","DET",20,61,0.213,1777.48166666667,349,564,0,4,143,181,709,147,33,47,841,2024,349,560,29.139043715847,5.72131147540984,9.24590163934426,0,0.0655737704918033,5.72131147540984,9.18032786885246,2.34426229508197,2.9672131147541,11.6229508196721,2.40983606557377,0.540983606557377,0.770491803278688,13.7868852459016,"C",18.7,-0.1,0.9
"Jalen Green","HOU",22,82,0.5,2601.38166666667,563,1332,201,605,283,352,423,291,66,28,1610,2024,362,727,31.7241666666667,6.86585365853659,16.2439024390244,2.45121951219512,7.3780487804878,4.41463414634146,8.86585365853658,3.45121951219512,4.29268292682927,5.15853658536585,3.54878048780488,0.804878048780488,0.341463414634146,19.6341463414634,"SG",14.7,-0.5,1
"Jalen Hood-Schifino","LAL",21,21,0.476,108.983333333333,10,45,2,15,12,20,13,8,3,2,34,2024,8,30,5.18968253968252,0.476190476190476,2.14285714285714,0.0952380952380952,0.714285714285714,0.380952380952381,1.42857142857143,0.571428571428571,0.952380952380952,0.619047619047619,0.380952380952381,0.142857142857143,0.0952380952380952,1.61904761904762,"SG",-1.5,-16.1,-0.4
"Jalen Johnson","ATL",22,56,0.482,1888.86666666667,359,702,71,200,107,147,488,203,67,47,896,2024,288,502,33.729761904762,6.41071428571429,12.5357142857143,1.26785714285714,3.57142857142857,5.14285714285714,8.96428571428571,1.91071428571429,2.625,8.71428571428571,3.625,1.19642857142857,0.839285714285714,16,"SF",16.3,1.2,1.5
"Jalen McDaniels","TOR",26,50,0.24,538.006666666667,65,189,12,71,27,37,79,37,19,6,169,2024,53,118,10.7601333333333,1.3,3.78,0.24,1.42,1.06,2.36,0.54,0.74,1.58,0.74,0.38,0.12,3.38,"SF",5,-9,-1
"Jalen Pickett","DEN",24,27,0.741,121.788333333333,15,35,9,25,3,4,14,21,4,0,42,2024,6,10,4.51067901234567,0.555555555555556,1.2962962962963,0.333333333333333,0.925925925925926,0.222222222222222,0.37037037037037,0.111111111111111,0.148148148148148,0.518518518518518,0.777777777777778,0.148148148148148,0,1.55555555555556,"SG",9.7,-3.3,0
"Jalen Slawson","SAC",24,12,0.667,36.975,4,6,0,2,0,0,7,2,1,1,8,2024,4,4,3.08125,0.333333333333333,0.5,0,0.166666666666667,0.333333333333333,0.333333333333333,0,0,0.583333333333333,0.166666666666667,0.0833333333333333,0.0833333333333333,0.666666666666667,"SF",6.6,-6.4,0
"Jalen Smith","IND",24,61,0.59,1046.625,234,395,61,144,72,104,337,63,17,38,601,2024,173,251,17.1577868852459,3.83606557377049,6.47540983606557,1,2.36065573770492,2.83606557377049,4.11475409836066,1.18032786885246,1.70491803278689,5.52459016393443,1.0327868852459,0.278688524590164,0.622950819672131,9.85245901639344,"C",20.7,2.4,1.2
"Jalen Suggs","ORL",23,75,0.573,2024.59,336,714,153,385,118,156,229,205,106,47,943,2024,183,329,26.9945333333333,4.48,9.52,2.04,5.13333333333333,2.44,4.38666666666667,1.57333333333333,2.08,3.05333333333333,2.73333333333333,1.41333333333333,0.626666666666667,12.5733333333333,"SG",14.1,1,1.5
"Jalen Williams","OKC",23,71,0.718,2223.59833333333,536,993,103,241,180,221,282,322,80,45,1355,2024,433,752,31.3182863849765,7.54929577464789,13.9859154929577,1.45070422535211,3.3943661971831,6.09859154929577,10.5915492957746,2.53521126760563,3.11267605633803,3.97183098591549,4.53521126760563,1.12676056338028,0.633802816901408,19.0845070422535,"PF",19.1,2.3,2.4
"Jalen Wilson","BKN",23,43,0.326,664.536666666667,76,179,24,74,38,46,131,45,11,4,214,2024,52,105,15.4543410852713,1.76744186046512,4.16279069767442,0.558139534883721,1.72093023255814,1.2093023255814,2.44186046511628,0.883720930232558,1.06976744186047,3.04651162790698,1.04651162790698,0.255813953488372,0.0930232558139535,4.97674418604651,"PF",10.8,-2.9,-0.2
"Jamal Cain","MIA",25,26,0.538,259.091666666667,34,79,11,31,18,23,37,10,10,5,97,2024,23,48,9.96506410256412,1.30769230769231,3.03846153846154,0.423076923076923,1.19230769230769,0.884615384615385,1.84615384615385,0.692307692307692,0.884615384615385,1.42307692307692,0.384615384615385,0.384615384615385,0.192307692307692,3.73076923076923,"PF",11.5,-2.3,0
"Jamal Murray","DEN",27,59,0.746,1861.37,474,986,145,341,157,184,242,384,57,39,1250,2024,329,645,31.5486440677966,8.03389830508475,16.7118644067797,2.45762711864407,5.77966101694915,5.57627118644068,10.9322033898305,2.66101694915254,3.11864406779661,4.10169491525424,6.50847457627119,0.966101694915254,0.661016949152542,21.1864406779661,"PG",20.7,4.1,2.9
"Jamaree Bouyea","SAS",25,9,0.222,94.9,10,28,1,9,0,0,19,11,1,0,21,2024,9,19,10.5444444444444,1.11111111111111,3.11111111111111,0.111111111111111,1,1,2.11111111111111,0,0,2.11111111111111,1.22222222222222,0.111111111111111,0,2.33333333333333,"PG",1.5,-12.3,-0.2
"James Bouknight","CHA",23,14,0,80.9,18,41,13,30,1,2,9,6,1,1,50,2024,5,11,5.77857142857143,1.28571428571429,2.92857142857143,0.928571428571429,2.14285714285714,0.357142857142857,0.785714285714286,0.0714285714285714,0.142857142857143,0.642857142857143,0.428571428571429,0.0714285714285714,0.0714285714285714,3.57142857142857,"SG",15.9,2.2,0.1
"James Harden","LAC",34,72,0.639,2469.66833333333,352,822,186,488,302,344,369,614,77,57,1192,2024,166,334,34.300949074074,4.88888888888889,11.4166666666667,2.58333333333333,6.77777777777778,2.30555555555556,4.63888888888889,4.19444444444444,4.77777777777778,5.125,8.52777777777778,1.06944444444444,0.791666666666667,16.5555555555556,"PG",18.6,4.1,3.8
"James Johnson","IND",37,9,0.444,47.195,3,10,0,2,2,2,4,8,5,1,8,2024,3,8,5.24388888888889,0.333333333333333,1.11111111111111,0,0.222222222222222,0.333333333333333,0.888888888888889,0.222222222222222,0.222222222222222,0.444444444444444,0.888888888888889,0.555555555555556,0.111111111111111,0.888888888888889,"PF",5,-5.8,0
"James Wiseman","DET",23,63,0.143,1091.04333333333,187,305,0,2,72,102,336,54,12,39,446,2024,187,303,17.3181481481481,2.96825396825397,4.84126984126984,0,0.0317460317460317,2.96825396825397,4.80952380952381,1.14285714285714,1.61904761904762,5.33333333333333,0.857142857142857,0.19047619047619,0.619047619047619,7.07936507936508,"C",14.8,-3.5,-0.4
"Jarace Walker","IND",20,33,0.545,340.423333333333,45,110,22,55,8,9,63,40,15,11,120,2024,23,55,10.3158585858586,1.36363636363636,3.33333333333333,0.666666666666667,1.66666666666667,0.696969696969697,1.66666666666667,0.242424242424242,0.272727272727273,1.90909090909091,1.21212121212121,0.454545454545455,0.333333333333333,3.63636363636364,"PF",11.8,0.2,0.2
"Jared Butler","WAS",23,40,0.15,565.651666666667,98,201,24,78,31,36,58,126,29,8,251,2024,74,123,14.1412916666667,2.45,5.025,0.6,1.95,1.85,3.075,0.775,0.9,1.45,3.15,0.725,0.2,6.275,"SG",14.1,-2.1,0
