"Player","Tm","Age","G","win_pct","MP","FG","FGA","X3P","X3PA","FT","FTA","TRB","AST","STL","BLK","PTS","Year","X2P","X2PA","MP_pg","FG_pg","FGA_pg","X3P_pg","X3PA_pg","X2P_pg","X2PA_pg","FT_pg","FTA_pg","TRB_pg","AST_pg","STL_pg","BLK_pg","PTS_pg","Pos","PER","BPM","VORP"
"Dalano Banton","POR",24,54,0.444,1046.84666666667,202,500,59,199,94,120,178,127,33,20,557,2024,143,301,19.3860493827161,3.74074074074074,9.25925925925926,1.09259259259259,3.68518518518519,2.64814814814815,5.57407407407407,1.74074074074074,2.22222222222222,3.2962962962963,2.35185185185185,0.611111111111111,0.37037037037037,10.3148148148148,"PG",13.3,-1.3,0.2
"Dalen Terry","CHI",21,59,0.458,680.71,69,157,17,74,25,43,113,81,27,18,180,2024,52,83,11.5374576271186,1.16949152542373,2.66101694915254,0.288135593220339,1.25423728813559,0.88135593220339,1.40677966101695,0.423728813559322,0.728813559322034,1.91525423728814,1.3728813559322,0.457627118644068,0.305084745762712,3.05084745762712,"SG",10.2,-2.3,0
"Damian Jones","CLE",29,39,0.615,269.731666666667,43,72,3,14,18,21,62,15,7,13,107,2024,40,58,6.91619658119659,1.1025641025641,1.84615384615385,0.0769230769230769,0.358974358974359,1.02564102564103,1.48717948717949,0.461538461538462,0.538461538461538,1.58974358974359,0.384615384615385,0.179487179487179,0.333333333333333,2.74358974358974,"C",15.8,-0.5,0.1
"Damian Lillard","MIL",33,73,0.658,2578.42833333333,541,1277,220,622,473,514,320,508,72,18,1775,2024,321,655,35.3209360730593,7.41095890410959,17.4931506849315,3.01369863013699,8.52054794520548,4.3972602739726,8.97260273972603,6.47945205479452,7.04109589041096,4.38356164383562,6.95890410958904,0.986301369863014,0.246575342465753,24.3150684931507,"PG",19.6,2.1,2.7
"Daniel Gafford","DAL",25,74,0.405,1814.355,348,480,0,0,118,175,562,115,65,153,814,2024,348,480,24.5183108108108,4.7027027027027,6.48648648648649,0,0,4.7027027027027,6.48648648648649,1.59459459459459,2.36486486486486,7.59459459459459,1.55405405405405,0.878378378378378,2.06756756756757,11,"C",21.7,2.6,2.1
"Daniel Theis","LAC",32,60,0.633,1014.84,156,293,26,71,38,50,244,61,21,51,376,2024,130,222,16.914,2.6,4.88333333333333,0.433333333333333,1.18333333333333,2.16666666666667,3.7,0.633333333333333,0.833333333333333,4.06666666666667,1.01666666666667,0.35,0.85,6.26666666666667,"C",14.4,-1.6,0.1
"Danilo Gallinari","MIL",35,49,0.306,629.29,83,190,30,93,84,98,108,55,14,6,280,2024,53,97,12.8426530612245,1.69387755102041,3.87755102040816,0.612244897959184,1.89795918367347,1.08163265306122,1.97959183673469,1.71428571428571,2,2.20408163265306,1.12244897959184,0.285714285714286,0.122448979591837,5.71428571428571,"PF",13.4,-1.9,0
"Danny Green","PHI",37,2,0.5,18.45,0,2,0,1,0,0,2,1,1,0,0,2024,0,1,9.225,0,1,0,0.5,0,0.5,0,0,1,0.5,0.5,0,0,"SG",0.7,-6.6,0
"Dante Exum","DAL",28,55,0.655,1087.62166666667,161,302,53,108,53,68,149,157,22,5,428,2024,108,194,19.7749393939395,2.92727272727273,5.49090909090909,0.963636363636364,1.96363636363636,1.96363636363636,3.52727272727273,0.963636363636364,1.23636363636364,2.70909090909091,2.85454545454545,0.4,0.0909090909090909,7.78181818181818,"PG",13.7,-0.6,0.4
"Danuel House Jr.","PHI",31,34,0.618,509.055,47,105,15,50,35,46,58,28,15,5,144,2024,32,55,14.9722058823529,1.38235294117647,3.08823529411765,0.441176470588235,1.47058823529412,0.941176470588235,1.61764705882353,1.02941176470588,1.35294117647059,1.70588235294118,0.823529411764706,0.441176470588235,0.147058823529412,4.23529411764706,"SF",8.5,-4,-0.3
"DaQuan Jeffries","NYK",26,17,0.647,45.975,6,17,2,10,0,2,5,5,0,1,14,2024,4,7,2.70441176470588,0.352941176470588,1,0.117647058823529,0.588235294117647,0.235294117647059,0.411764705882353,0,0.117647058823529,0.294117647058824,0.294117647058824,0,0.0588235294117647,0.823529411764706,"SG",3.1,-8.1,-0.1
"Dariq Whitehead","BKN",19,2,0.5,23.9833333333333,1,5,0,3,1,2,4,3,0,1,3,2024,1,2,11.9916666666666,0.5,2.5,0,1.5,0.5,1,0.5,1,2,1.5,0,0.5,1.5,"SF",4.9,-7.9,0
"Darius Bazley","UTA",24,9,0.222,151.825,18,30,2,8,10,12,28,7,6,7,48,2024,16,22,16.8694444444444,2,3.33333333333333,0.222222222222222,0.888888888888889,1.77777777777778,2.44444444444444,1.11111111111111,1.33333333333333,3.11111111111111,0.777777777777778,0.666666666666667,0.777777777777778,5.33333333333333,"PF",13.9,-0.4,0.1
"Darius Garland","CLE",24,57,0.544,1900.43833333333,375,841,132,356,146,175,152,373,74,7,1028,2024,243,485,33.3410233918128,6.57894736842105,14.7543859649123,2.31578947368421,6.24561403508772,4.26315789473684,8.50877192982456,2.56140350877193,3.07017543859649,2.66666666666667,6.54385964912281,1.29824561403509,0.12280701754386,18.0350877192982,"PG",14.5,-1,0.5
"David Duke Jr.","SAS",24,4,0.75,51.35,10,18,3,6,3,3,10,5,2,0,26,2024,7,12,12.8375,2.5,4.5,0.75,1.5,1.75,3,0.75,0.75,2.5,1.25,0.5,0,6.5,"SG",16.2,1.4,0
"David Roddy","PHX",23,65,0.385,1176.98166666667,165,409,48,164,47,68,211,80,27,11,425,2024,117,245,18.1074102564103,2.53846153846154,6.29230769230769,0.738461538461539,2.52307692307692,1.8,3.76923076923077,0.723076923076923,1.04615384615385,3.24615384615385,1.23076923076923,0.415384615384615,0.169230769230769,6.53846153846154,"PF",8.7,-5,-0.9
"Davion Mitchell","SAC",25,72,0.569,1101.1,146,323,57,158,30,42,95,134,17,3,379,2024,89,165,15.2930555555556,2.02777777777778,4.48611111111111,0.791666666666667,2.19444444444444,1.23611111111111,2.29166666666667,0.416666666666667,0.583333333333333,1.31944444444444,1.86111111111111,0.236111111111111,0.0416666666666667,5.26388888888889,"PG",9.3,-3.4,-0.4
"Day'Ron Sharpe","BKN",22,61,0.41,920.575,168,294,4,15,75,123,389,85,24,44,415,2024,164,279,15.091393442623,2.75409836065574,4.81967213114754,0.0655737704918033,0.245901639344262,2.68852459016393,4.57377049180328,1.22950819672131,2.01639344262295,6.37704918032787,1.39344262295082,0.39344262295082,0.721311475409836,6.80327868852459,"C",20,0,0.5
"De'Aaron Fox","SAC",26,74,0.568,2658.76333333333,720,1549,214,580,312,423,340,418,150,31,1966,2024,506,969,35.9292342342342,9.72972972972973,20.9324324324324,2.89189189189189,7.83783783783784,6.83783783783784,13.0945945945946,4.21621621621622,5.71621621621622,4.59459459459459,5.64864864864865,2.02702702702703,0.418918918918919,26.5675675675676,"PG",20.1,2.7,3.2
"De'Andre Hunter","ATL",26,57,0.456,1681.09333333333,304,663,117,304,166,196,222,87,40,16,891,2024,187,359,29.492865497076,5.33333333333333,11.6315789473684,2.05263157894737,5.33333333333333,3.28070175438596,6.29824561403509,2.91228070175439,3.43859649122807,3.89473684210526,1.52631578947368,0.701754385964912,0.280701754385965,15.6315789473684,"SF",12.7,-2.4,-0.2
"De'Anthony Melton","PHI",26,38,0.658,1023.33166666667,139,360,77,214,66,79,141,114,60,16,421,2024,62,146,26.9297807017545,3.65789473684211,9.47368421052632,2.02631578947368,5.63157894736842,1.63157894736842,3.84210526315789,1.73684210526316,2.07894736842105,3.71052631578947,3,1.57894736842105,0.421052631578947,11.0789473684211,"SG",13.4,0.5,0.7
"Dean Wade","CLE",27,54,0.667,1108.08,96,232,79,202,20,26,218,43,40,25,291,2024,17,30,20.52,1.77777777777778,4.2962962962963,1.46296296296296,3.74074074074074,0.314814814814815,0.555555555555556,0.37037037037037,0.481481481481481,4.03703703703704,0.796296296296296,0.740740740740741,0.462962962962963,5.38888888888889,"PF",10.2,0.1,0.6
"Deandre Ayton","POR",25,55,0.255,1783.49833333333,427,749,1,10,65,79,609,90,56,42,920,2024,426,739,32.4272424242424,7.76363636363636,13.6181818181818,0.0181818181818182,0.181818181818182,7.74545454545455,13.4363636363636,1.18181818181818,1.43636363636364,11.0727272727273,1.63636363636364,1.01818181818182,0.763636363636364,16.7272727272727,"C",18.9,0.3,1
"DeAndre Jordan","DEN",35,36,0.667,395.716666666667,58,93,0,0,26,53,157,26,6,16,142,2024,58,93,10.9921296296296,1.61111111111111,2.58333333333333,0,0,1.61111111111111,2.58333333333333,0.722222222222222,1.47222222222222,4.36111111111111,0.722222222222222,0.166666666666667,0.444444444444444,3.94444444444444,"C",16,-1.7,0
"DeJon Jarreau","MEM",26,9,0.222,149.546666666667,17,50,4,13,5,11,44,26,6,2,43,2024,13,37,16.6162962962963,1.88888888888889,5.55555555555556,0.444444444444444,1.44444444444444,1.44444444444444,4.11111111111111,0.555555555555556,1.22222222222222,4.88888888888889,2.88888888888889,0.666666666666667,0.222222222222222,4.77777777777778,"SG",9.6,-4,-0.1
"Dejounte Murray","ATL",27,78,0.436,2783.34333333333,672,1463,201,554,208,262,416,502,111,24,1753,2024,471,909,35.6838888888888,8.61538461538461,18.7564102564103,2.57692307692308,7.1025641025641,6.03846153846154,11.6538461538462,2.66666666666667,3.35897435897436,5.33333333333333,6.43589743589744,1.42307692307692,0.307692307692308,22.474358974359,"SG",17.7,1.7,2.6
"Delon Wright","MIA",32,47,0.34,741.566666666667,74,188,25,68,37,45,86,119,54,11,210,2024,49,120,15.7780141843972,1.57446808510638,4,0.531914893617021,1.4468085106383,1.04255319148936,2.5531914893617,0.787234042553192,0.957446808510638,1.82978723404255,2.53191489361702,1.14893617021277,0.234042553191489,4.46808510638298,"PG",13.6,0.4,0.5
"DeMar DeRozan","CHI",34,79,0.468,2988.56833333333,650,1355,75,225,522,612,340,421,90,45,1897,2024,575,1130,37.8299789029535,8.22784810126582,17.1518987341772,0.949367088607595,2.84810126582278,7.27848101265823,14.3037974683544,6.60759493670886,7.74683544303798,4.30379746835443,5.32911392405063,1.13924050632911,0.569620253164557,24.0126582278481,"SF",19.7,1.8,2.8
"Deni Avdija","WAS",23,75,0.187,2256.64333333333,406,803,88,235,202,273,540,286,59,36,1102,2024,318,568,30.0885777777777,5.41333333333333,10.7066666666667,1.17333333333333,3.13333333333333,4.24,7.57333333333333,2.69333333333333,3.64,7.2,3.81333333333333,0.786666666666667,0.48,14.6933333333333,"SF",14.9,-0.9,0.6
"Dennis Smith Jr.","BKN",26,56,0.339,1058.65833333333,147,338,32,109,43,58,164,203,68,12,369,2024,115,229,18.904613095238,2.625,6.03571428571429,0.571428571428571,1.94642857142857,2.05357142857143,4.08928571428571,0.767857142857143,1.03571428571429,2.92857142857143,3.625,1.21428571428571,0.214285714285714,6.58928571428571,"PG",13.4,-0.8,0.3
"Dereck Lively II","DAL",20,55,0.636,1294.28166666667,221,296,0,2,41,81,378,60,36,77,483,2024,221,294,23.532393939394,4.01818181818182,5.38181818181818,0,0.0363636363636364,4.01818181818182,5.34545454545455,0.745454545454545,1.47272727272727,6.87272727272727,1.09090909090909,0.654545454545455,1.4,8.78181818181818,"C",18.1,0.5,0.8
"Dereon Seabron","NOP",24,6,0.5,55.0833333333333,4,13,1,2,5,6,7,5,2,1,14,2024,3,11,9.18055555555555,0.666666666666667,2.16666666666667,0.166666666666667,0.333333333333333,0.5,1.83333333333333,0.833333333333333,1,1.16666666666667,0.833333333333333,0.333333333333333,0.166666666666667,2.33333333333333,"SG",9.2,-1.5,0
"Derrick Jones Jr.","DAL",27,76,0.618,1782.85666666667,239,495,82,239,97,136,250,75,53,51,657,2024,157,256,23.4586403508772,3.14473684210526,6.51315789473684,1.07894736842105,3.14473684210526,2.06578947368421,3.36842105263158,1.27631578947368,1.78947368421053,3.28947368421053,0.986842105263158,0.697368421052632,0.671052631578947,8.64473684210526,"SF",11.7,-1.5,0.2
"Derrick Rose","MEM",35,24,0.25,399.336666666667,76,165,15,41,24,27,45,78,8,2,191,2024,61,124,16.6390277777778,3.16666666666667,6.875,0.625,1.70833333333333,2.54166666666667,5.16666666666667,1,1.125,1.875,3.25,0.333333333333333,0.0833333333333333,7.95833333333333,"PG",13.1,-2.8,-0.1
"Derrick White","BOS",29,73,0.795,2380.985,387,839,196,495,137,152,310,377,74,87,1107,2024,191,344,32.6162328767123,5.3013698630137,11.4931506849315,2.68493150684932,6.78082191780822,2.61643835616438,4.71232876712329,1.87671232876712,2.08219178082192,4.24657534246575,5.16438356164384,1.01369863013699,1.19178082191781,15.1643835616438,"SG",16.9,3.8,3.5
"Desmond Bane","MEM",26,42,0.333,1442.84833333333,360,776,137,360,140,161,185,230,43,22,997,2024,223,416,34.3535317460317,8.57142857142857,18.4761904761905,3.26190476190476,8.57142857142857,5.30952380952381,9.90476190476191,3.33333333333333,3.83333333333333,4.40476190476191,5.47619047619048,1.02380952380952,0.523809523809524,23.7380952380952,"SG",18.5,2.8,1.7
"Devin Booker","PHX",27,68,0.632,2446.65666666667,642,1305,152,418,405,457,308,472,61,28,1841,2024,490,887,35.9802450980393,9.44117647058824,19.1911764705882,2.23529411764706,6.14705882352941,7.20588235294118,13.0441176470588,5.95588235294118,6.72058823529412,4.52941176470588,6.94117647058824,0.897058823529412,0.411764705882353,27.0735294117647,"PG",21.9,3,3.1
"Devin Vassell","SAS",23,68,0.25,2247.74333333333,498,1056,166,446,161,201,261,277,73,23,1323,2024,332,610,33.0550490196078,7.32352941176471,15.5294117647059,2.44117647058824,6.55882352941176,4.88235294117647,8.97058823529412,2.36764705882353,2.95588235294118,3.83823529411765,4.07352941176471,1.07352941176471,0.338235294117647,19.4558823529412,"SG",15.7,0,1.1
"Devonte' Graham","SAS",29,23,0.348,312.923333333333,38,108,25,83,13,16,36,49,9,2,114,2024,13,25,13.6053623188406,1.65217391304348,4.69565217391304,1.08695652173913,3.60869565217391,0.565217391304348,1.08695652173913,0.565217391304348,0.695652173913043,1.56521739130435,2.1304347826087,0.391304347826087,0.0869565217391304,4.95652173913043,"PG",9.4,-3.9,-0.1
"Dexter Dennis","DAL",25,4,0.25,29.8666666666667,10,19,1,8,1,3,9,4,0,1,22,2024,9,11,7.46666666666667,2.5,4.75,0.25,2,2.25,2.75,0.25,0.75,2.25,1,0,0.25,5.5,"SG",18.3,1.7,0
"Dillon Brooks","HOU",28,72,0.5,2226.73833333333,329,768,133,370,124,147,246,119,64,10,915,2024,196,398,30.9269212962962,4.56944444444444,10.6666666666667,1.84722222222222,5.13888888888889,2.72222222222222,5.52777777777778,1.72222222222222,2.04166666666667,3.41666666666667,1.65277777777778,0.888888888888889,0.138888888888889,12.7083333333333,"SF",9.4,-3.6,-0.9
"Dmytro Skapintsev","NYK",26,2,0,2.13333333333333,0,1,0,0,0,0,0,0,0,0,0,2024,0,1,1.06666666666667,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,"C",-19.3,-25.9,0
"Domantas Sabonis","SAC",28,82,0.561,2928.02166666667,634,1068,33,87,292,415,1120,673,74,48,1593,2024,601,981,35.7075813008131,7.73170731707317,13.0243902439024,0.402439024390244,1.0609756097561,7.32926829268293,11.9634146341463,3.5609756097561,5.0609756097561,13.6585365853659,8.20731707317073,0.902439024390244,0.585365853658537,19.4268292682927,"C",23.2,6.5,6.2
"Dominick Barlow","SAS",21,33,0.212,419.54,56,113,3,9,29,42,113,36,12,14,144,2024,53,104,12.7133333333333,1.6969696969697,3.42424242424242,0.0909090909090909,0.272727272727273,1.60606060606061,3.15151515151515,0.878787878787879,1.27272727272727,3.42424242424242,1.09090909090909,0.363636363636364,0.424242424242424,4.36363636363636,"PF",14.6,-1.7,0
"Donovan Mitchell","CLE",27,55,0.655,1942.65,503,1089,182,494,275,318,280,333,101,30,1463,2024,321,595,35.3209090909091,9.14545454545454,19.8,3.30909090909091,8.98181818181818,5.83636363636364,10.8181818181818,5,5.78181818181818,5.09090909090909,6.05454545454545,1.83636363636364,0.545454545454545,26.6,"SG",22.1,5.8,3.9
"Donte DiVincenzo","NYK",27,81,0.617,2360.39333333333,445,1004,283,705,86,114,297,216,107,36,1259,2024,162,299,29.1406584362139,5.49382716049383,12.3950617283951,3.49382716049383,8.7037037037037,2,3.69135802469136,1.06172839506173,1.40740740740741,3.66666666666667,2.66666666666667,1.32098765432099,0.444444444444444,15.5432098765432,"SG",16,3.4,3.2
"Dorian Finney-Smith","BKN",31,68,0.412,1934.59333333333,215,511,117,336,33,46,317,107,56,38,580,2024,98,175,28.4499019607843,3.16176470588235,7.51470588235294,1.72058823529412,4.94117647058824,1.44117647058824,2.57352941176471,0.485294117647059,0.676470588235294,4.66176470588235,1.57352941176471,0.823529411764706,0.558823529411765,8.52941176470588,"PF",10.1,-2,0
"Doug McDermott","IND",32,64,0.344,904.478333333333,123,284,94,229,11,19,59,70,16,2,351,2024,29,55,14.1324739583333,1.921875,4.4375,1.46875,3.578125,0.453125,0.859375,0.171875,0.296875,0.921875,1.09375,0.25,0.03125,5.484375,"SF",9.1,-3.4,-0.3
"Draymond Green","GSW",34,55,0.6,1490.18333333333,185,372,51,129,54,74,398,332,55,47,475,2024,134,243,27.0942424242424,3.36363636363636,6.76363636363636,0.927272727272727,2.34545454545455,2.43636363636364,4.41818181818182,0.981818181818182,1.34545454545455,7.23636363636364,6.03636363636364,1,0.854545454545454,8.63636363636364,"PF",14.5,2.4,1.6
"Drew Eubanks","PHX",27,75,0.56,1168.705,152,253,3,3,72,93,322,63,27,61,379,2024,149,250,15.5827333333333,2.02666666666667,3.37333333333333,0.04,0.04,1.98666666666667,3.33333333333333,0.96,1.24,4.29333333333333,0.84,0.36,0.813333333333333,5.05333333333333,"C",14.4,-1.2,0.2
"Drew Peterson","BOS",24,3,1,22.6833333333333,4,6,3,5,0,0,1,1,2,0,11,2024,1,1,7.5611111111111,1.33333333333333,2,1,1.66666666666667,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.666666666666667,0,3.66666666666667,"PF",18.5,5.3,0
"Dru Smith","MIA",26,9,0.778,130.895,15,33,7,17,2,2,14,14,9,3,39,2024,8,16,14.5438888888889,1.66666666666667,3.66666666666667,0.777777777777778,1.88888888888889,0.888888888888889,1.77777777777778,0.222222222222222,0.222222222222222,1.55555555555556,1.55555555555556,1,0.333333333333333,4.33333333333333,"SG",12.8,1.4,0.1
"Duncan Robinson","MIA",30,68,0.559,1905.44833333333,304,675,187,473,80,90,173,192,46,16,875,2024,117,202,28.0212990196078,4.47058823529412,9.92647058823529,2.75,6.95588235294118,1.72058823529412,2.97058823529412,1.17647058823529,1.32352941176471,2.54411764705882,2.82352941176471,0.676470588235294,0.235294117647059,12.8676470588235,"SF",12.2,-0.9,0.6
"Duop Reath","POR",28,68,0.25,1214.115,230,499,88,245,69,93,250,67,33,38,617,2024,142,254,17.8546323529412,3.38235294117647,7.33823529411765,1.29411764705882,3.60294117647059,2.08823529411765,3.73529411764706,1.01470588235294,1.36764705882353,3.67647058823529,0.985294117647059,0.485294117647059,0.558823529411765,9.07352941176471,"C",15.1,-0.9,0.3
"Dwight Powell","DAL",32,63,0.603,836.303333333333,72,106,1,3,63,89,214,84,26,20,208,2024,71,103,13.2746560846561,1.14285714285714,1.68253968253968,0.0158730158730159,0.0476190476190476,1.12698412698413,1.63492063492063,1,1.41269841269841,3.3968253968254,1.33333333333333,0.412698412698413,0.317460317460317,3.3015873015873,"C",14.5,-0.3,0.4
"Dylan Windler","ATL",27,17,0.529,108.41,15,30,13,27,0,0,16,10,2,0,43,2024,2,3,6.37705882352941,0.882352941176471,1.76470588235294,0.764705882352941,1.58823529411765,0.117647058823529,0.176470588235294,0,0,0.941176470588235,0.588235294117647,0.117647058823529,0,2.52941176470588,"SF",14.2,0.7,0.1
"Dyson Daniels","NOP",21,61,0.557,1358.525,139,311,42,135,34,53,236,164,85,25,354,2024,97,176,22.2709016393443,2.27868852459016,5.0983606557377,0.688524590163934,2.21311475409836,1.59016393442623,2.88524590163934,0.557377049180328,0.868852459016393,3.86885245901639,2.68852459016393,1.39344262295082,0.409836065573771,5.80327868852459,"PG",12,0.6,0.9
"E.J. Liddell","NOP",23,8,0.375,23.0833333333333,1,6,0,5,2,2,5,1,2,2,4,2024,1,1,2.88541666666666,0.125,0.75,0,0.625,0.125,0.125,0.25,0.25,0.625,0.125,0.25,0.25,0.5,"PF",4.3,-4.7,0
"Emoni Bates","CLE",20,15,0.533,132.815,15,49,10,33,1,4,14,10,1,2,41,2024,5,16,8.85433333333333,1,3.26666666666667,0.666666666666667,2.2,0.333333333333333,1.06666666666667,0.0666666666666667,0.266666666666667,0.933333333333333,0.666666666666667,0.0666666666666667,0.133333333333333,2.73333333333333,"SF",2.6,-9.2,-0.2
"Eric Gordon","PHX",35,68,0.603,1892.63,274,618,150,397,51,64,122,139,66,30,749,2024,124,221,27.8327941176471,4.02941176470588,9.08823529411765,2.20588235294118,5.83823529411765,1.82352941176471,3.25,0.75,0.941176470588235,1.79411764705882,2.04411764705882,0.970588235294118,0.441176470588235,11.0147058823529,"SG",10.8,-1.7,0.1
