"X","TEAM_ID","TEAM_NAME","GP","W","L","W_PCT","MIN","OFF_RATING","PACE","POSS","Season"
57,1610612763,"Vancouver Grizzlies",82,19,63,0.232,3966,102.4,93.6,7735,"1997-98"
58,1610612764,"Washington Wizards",82,42,40,0.512,3961,103.9,92.98,7669,"1997-98"
59,1610612737,"Atlanta Hawks",50,31,19,0.62,2415,98.4,87.1,4387,"1998-99"
60,1610612738,"Boston Celtics",50,19,31,0.38,2430,98.7,93.02,4711,"1998-99"
61,1610612766,"Charlotte Hornets",50,26,24,0.52,2430,100.4,91.43,4626,"1998-99"
62,1610612741,"Chicago Bulls",50,13,37,0.26,2414,91.4,89.19,4482,"1998-99"
63,1610612739,"Cleveland Cavaliers",50,22,28,0.44,2410,98.2,87.66,4400,"1998-99"
64,1610612742,"Dallas Mavericks",50,19,31,0.38,2415,100.2,90.8,4570,"1998-99"
65,1610612743,"Denver Nuggets",50,14,36,0.28,2405,101.4,91.99,4611,"1998-99"
66,1610612765,"Detroit Pistons",50,29,21,0.58,2410,102.4,87.93,4411,"1998-99"
67,1610612744,"Golden State Warriors",50,21,29,0.42,2425,96,90.96,4600,"1998-99"
68,1610612745,"Houston Rockets",50,31,19,0.62,2415,103.5,90.45,4551,"1998-99"
69,1610612754,"Indiana Pacers",50,33,17,0.66,2420,106.6,88.16,4442,"1998-99"
70,1610612746,"Los Angeles Clippers",50,9,41,0.18,2425,98.3,91.04,4599,"1998-99"
71,1610612747,"Los Angeles Lakers",50,31,19,0.62,2410,106.1,92.95,4666,"1998-99"
72,1610612748,"Miami Heat",50,33,17,0.66,2405,102.9,86.35,4325,"1998-99"
73,1610612749,"Milwaukee Bucks",50,28,22,0.56,2410,102.9,88.64,4453,"1998-99"
74,1610612750,"Minnesota Timberwolves",50,25,25,0.5,2405,99.9,92.86,4651,"1998-99"
75,1610612751,"New Jersey Nets",50,16,34,0.32,2410,97,93.73,4711,"1998-99"
76,1610612752,"New York Knicks",50,27,23,0.54,2420,97.2,88.22,4446,"1998-99"
77,1610612753,"Orlando Magic",50,33,17,0.66,2410,98.9,89.93,4521,"1998-99"
